ID	team	title	abstract	village	medal	awards	nominations	year	PIs	instructors	advisors	student leaders	students	roster members	section	country	region	wiki	status
4610	CCA-San-Diego	FUMigate: A Novel Salmon Antiparasitic	Parasites of freshwater salmonids exert significant economic damages to the aquaculture industry, being associated with an annual cost of some $1.05 billion to $9.58 billion (Shinn et al, 2015). Notwithstanding this economic impact, these parasites are unable to cause notable disease in humans, and are often overlooked in the broader effort to develop antiparasitic diagnostics and therapeutics. The salmon industry, being the fastest-growing means of food production worldwide, is particularly impacted by parasitic infection (Iversen et al, 2020). We aim to produce an antiparasitic natural product within fish by delivering to them a series of genes packaged in environmentally-degradable chitosan nanoparticles. The antiparasitic compound being considered is fumagillin, which has demonstrated activity against the parasitic species Tetracapsuloides bryosalmonae, nucleospora salmonis, loma salmonae, and myxobolus cerebralis. We seek to reconstitute the fumagillin pathway by administering antiparasitic gene therapy to affected fish by delivering genes through the nanoparticles in fish feed.	High School	Bronze Medal			2023	Erinn Eddingfield			Andrew Tsui, Claire Kang, Weili Jin	Annika Xuan, Austin Xu, Brandon Jimin Hahm, Brianna Baek, Che Wen, Claire Wang, Deren Qian, Emily Zhang, Jaehee Park, Jiwen Yang, John Park, Joyce Tan, Krish Mandadi, Laya Vijayanand, Linda Yu, Melinda Chang, Minkyu Tak, Natalie Sun, Niveditha Chozhan, Rhea Rupareliya, Rithika Kapila, Ritvik Irigireddy, Seojun Lee, Shruti Malladi, Soeun Han, Sophie Geierstanger, Yunji Kim	31	High School	United States	North America	https://2023.igem.wiki/cca-san-diego	Accepted
4611	CJUH-JLU-China	BreFast: A Fast and Convenient Screening Kit for Breast Cancer Early Detection	While breast cancer is the cancer with the highest incidence rate among women, early detection reduces the mortality rate of breast cancer effectively. Therefore, we aim to create a fast and convenient screening kit, BreFast, for breast cancer early detection. We employed comprehensive bioinformatics methods to identify a breast cancer-associated miRNA, miR-21-5p, as an optimal biomarker for screening, and engineered a CRISPR/Cas13a system that could be specifically activated by miR-21-5p to cleave any by-stander RNA such as a dual-labeled reporter RNA. We used a lateral flow strip to show the cleavage of the reporter RNA, as only the intact reporter RNA could cause accumulation of colloidal gold at the T line of this strip. Our BreFast combines the efficiency of CRISPR/Cas13a system and the convenience of lateral flow strips into a novel approach to detect breast cancer.	Diagnostics	Gold Medal			2023	Xin Hu, Youzhong Wan	Yutong Yao	Yuxin Zhou	Zhihui Chen	Guanyu Huo, He Sun, Jasmine Li Cho, Jie Song, Luohan Ge, Meng Yuan, Saiyu Luo, Tuo Wang, Xinrui Wang, Yinan Zhao, Zeyu Liu, Zhongyu Chen, Ziming Zhong	18	Undergrad	China	Asia	https://2023.igem.wiki/cjuh-jlu-china	Accepted
4612	BUCT-China	POMELO:Polymerase- enabled Molecular Computing	Biological molecule diagnostics hold great promise in the field of healthcare. The BUCT-China team has developed DNA molecular probes capable of weighted summation calculations through polymerase-mediated strand displacement reactions. These probes, organized into an artificial biochemical circuit resembling a neural network structure, can execute weighted summation on multidimensional biomarker input signals, providing more intuitive low-dimensional diagnostic results for in vitro diagnostics and disease identification. The introduction of polymerase provides a new weighting mechanism, reducing the design and manufacturing costs of weighted chains while simplifying the reaction process. This innovation makes it feasible to conduct molecular diagnostics involving high-weight targets. Moreover, the cell-free system enables microscale reactions, contributing to the safety and portability of the overall setup.	Diagnostics	Silver Medal		Best Diagnostics Project, Overgrad+Best New Basic Part, Overgrad	2023	Zhao Yang, Xin Su, Guofeng Li, Heyun Shen, Lei Wang		Huixiao Yang, Linghao Zhang, Liu yichun, Li Xiaojing, Xinmiao Kang, Yan Yumin, Youfeng Liang, Yuyin Gui, Zhu Xinyi	Jiong Huang, Keyue Zhang	Chengyu Jin, Chenyuan Liu, Haoyang Hu, Huiyu Lei, Jiaxin Li, Junlan Wang, Kexu Zhao, Lanxin Huang, Mingzhen Zhou, MuRan Li, Ruiying Wang, Tianru He, Weiyi OuYang, Yang Cheng, Yinhao Wang, Yinxi Song, Yuxuan Duan, Zibin Chu	34	Overgrad	China	Asia	https://2023.igem.wiki/buct-china	Accepted
4613	NAU-CHINA	BISTRO?Biological Sensing, Tracking, and Reduction of Ochratoxin A	This project focuses on detecting and degrading ochratoxin A (OTA) in red wine, a popular global beverage. OTA is a toxic mycotoxin widely present in wine, posing health risks. By using specific binding and amplification techniques, the detection module enables convenient OTA detection. The degradation module utilizes probiotics to create a functional polymer network with the OTA-degrading enzyme M-CPA, effectively converting OTA into non-toxic compounds. Overcoming challenges like wine's pH and alcohol content, this project ensures safe and efficient OTA degradation in wine. We offers a novel approach for sensing, tracking, and reduction of ochratoxin A, which holds significant importance for wine safety.	Food & Nutrition	Gold Medal		Best Food & Nutrition Project, Undergrad & Overgrad+Best Part Collection, Undergrad	2023	Jiandong Jiang, Chen Xi	Ate Li, Jin Wang, Jufang Wang, Zhe Wang	Fei Liu, Haiyang Zhao, Hanfei Yang, Jiayu Mao, Jie Yang, Jingyi Wang, Qi Cheng, Rundong Xiefang, Ruoyan Liu, Shuyue Wen, Xinmu Xu, Yilian Wang, Yuehan Wang, Zhang Zhan Qi, Zhicheng Chang, Ziqi Liu	Bo Cheng, Zhenyu Li	Jiawen Chang, Jinxuan Han, Jinzhou Li, Linxuan Yu, Mingjie Kong, Ni Feng, Qinfei Zhou, Shiting Ruan, Wanhe Zhu, Yadong Liu, Yifei He, Yinuo Li, Yuchen Zhou, Zhengkang Li, Zicheng Ma, Zijin Qiao, Ziran Zhou	41	Undergrad	China	Asia	https://2023.igem.wiki/nau-china	Accepted
4614	CAU-China	My Si-lium	In 2023, CAU China embarked on a purely biological manufacturing journey, drawing inspiration from mycilum and diatoms, and introduced a groundbreaking biotic material to the world, which we named 'My Si-lium'. Our project comprises three phases. First, quorum sensing expressed the SulA gene, elongating bacterial monomers via filamentation. Next, Spytag was positioned on flagellar L-rings using FlgH, while SpyCatcher was displayed via Wza. Spytag was captured by SpyCatcher, cross-linking bacterial cells into a regular 3D network structure. Finally, by surface-displaying silaffin and adding TEOS, bacterial cells underwent siliconization from the outside to the inside, ensuring project safety while enhancing mechanical strength. Research and modeling have revealed that 'My Si-lium' is not only cost-effective and eco-friendly but also possesses properties such as porosity, fire resistance, and mold resistance, making it highly suitable for improving existing sound-absorbing materials. It also holds significant potential in applications like material repair and decorative protection.	Biomanufacturing	Gold Medal		Best New Basic Part, Undergrad	2023	Wang Na, Chang-Fu Tian, Shuyang Yu	Jinshui Yang, Li Baoguo, Liu Gang	Jiang Nanqi, Lehan Dong, Muhua Liu	wanying zhu, Xu Linjie	Chaozheng Wang, Chenfan wei, Hua Xinying, Jingwen Yu, Miaodi Feng, Muchen Yao, Qianhui Sun, Wanke Xia, Xiangjun Liu, Yao-han Huang, Yawen Han, Yiwei Zhao, Yuxiao Liu, Zhang Xiyuan	25	Undergrad	China	Asia	https://2023.igem.wiki/cau-china	Accepted
4616	BIT-China	Lights control iT: Light-induced Controlled Synthesis of intermixed Terpenoid	In the realm of fragrance production, our project, named 'Lights Control iT (intermixed Terpenoid)', introduces an innovative approach to the controllable synthesis of two terpenoids as key fragrance components: santalol and sclareol. Traditional chemical synthesis methods generate substantial industrial waste, posing environmental challenges. To address these issues, we have designed a yeast-based cell factory capable of environmentally-friendly, controllable fragrance production. Our approach leverages the power of light regulation using a photosensitive transcription regulator, EL222, and a specific promoter, PC120. The 450nm light triggers the expression of essential genes for the synthesis of sclareol, while represses those for santalol. This dynamic photoinduction system offers advantages such as operational reversibility, high spatiotemporal resolution, and enhanced production efficiency. Our experiments indicate that our cell factory can potentially produce fragrant bases with precise proportions of santalol and sclareol. This breakthrough promises a more sustainable and flexible future for fragrance production.	Biomanufacturing	Gold Medal			2023	Bing Hu, Yang Yu		Huaiqian Xue, Lingtao Huang, Na Zhang, WeiJie Cao, Xuanye Zhao, Xulin Gong, Yang Lee, YiYang Sun, Yunyun DU	Cheng Zou, Tongcan Sun	Chuwan Ruan, Feng Hong, Hang Zhai, Haoyu Zhang, Jiaxin Huo, Junhao Zhao, Kejia Zhi, Keweiyang Zhang, Tianyao Chai, Wei Zhang, Xiang Ji, Yang Li, Yijing Zhang, Yue Wang, Zexu Wang, Ziao Zhu, Ziyuan Hao, Zonghan Lei	31	Undergrad	China	Asia	https://2023.igem.wiki/bit-china	Accepted
4618	CSMU-Taiwan	DECOLOGY: The Perfect Combination of Decolorize and Ecology	Taiwan's textile industry ranks third in the world in terms of output, making it a main global supplier of functional fabrics. However, massive production inevitably brings serious pollution and wastewater. Large quantities of dyes are discharged into river and ocean during the garment making process. To solve this issue, our approach was through the bioremediation method. We combined two proteins (laccase and hydrophobin) with NG Catcher/Tag system. Laccase is able to decompose dye particles, hydrophobin is expected to adhere to the color catcher (our product, expected to be a platform for laccase to act on), and Catcher/Tag system can combine above-mentioned two proteins. We hope our project could be implemented in textile factories, not only breaking down synthetic dyes but also help reduce the amount of wastewater.	Bioremediation	Silver Medal			2023	LIU YU-FAN		DE-MING, CHEN, WenChi Li	Lin, Chia-Yu	CHUN-BEI, CHEN, LEE, YI-CHEN, Liu ding-chen, MING-YU CHANG, PO-YANG PENG, TSAI CHENG YAN, Yi-Yin LU, Yu Jie,Chan, ZhiHui Wang	13	Undergrad	Taiwan	Asia	https://2023.igem.wiki/csmu-taiwan	Accepted
4620	Latvia-Riga	Full Circle: Advancing Cyclic Peptide production using BURP Domain proteins	BURP domains are a class of plant proteins that catalyze the cyclization of small peptide motifs, that have a potential to generate cyclic peptide therapeutics, antimicrobials and insecticides. Our goal is to produce functional recombinant BURP domain proteins in order to perform cyclisation of diverse (natural, engineered) peptide substrates. This would demonstrate a useful platform for realising the bioactive potential of cyclic peptides. During our project we aimed to create a library of custom vectors for our BURP protein expression using the Freegenes E. coli Protein Expression Toolkit. In parallel, we optimized BURP domain protein expression and purification strategies using pXP vector series among other protocols and achieved successful cyclization of peptides. Throughout our project, we used conversations with experts from different fields and the public to guide our work. We also developed a board game and a simulation game to educate the next generations and future iGEM teams.	Foundational Advance	Gold Medal		Best New Basic Part, Overgrad	2023	Talis Juhna, Janis Liepins	Anna Stikane	Al?na Re??na, Andrii Shekhirev, Teodors Pante?ejevs	Agate Amantova, Alise Anna Stipniece-Jekimova	Aleksandrs Iva?i?kins, Anatolijs Bervja?onoks, Anna L?na Bula, Deniss Fjodorovs, Eduards Teodors Mincis, Ieva Adamovica, J?nis Edmunds Daugavietis, Kaiva Solvita Runge, Karina Rozkova, Kristine Kramena, Laura Drunka, Paula Lu?ze Biteniece	20	Overgrad	Latvia	Europe	https://2023.igem.wiki/latvia-riga	Accepted
4621	SCUT-China	ECO-SHELLS?Waste to Wealth	When people buy seafood or make seafood products, they aim to get nutrition from those eatable and savory parts, hardly paying attention to the waste like shell of shrimps and crabs. SCUT-China wants to upgrade the usage of these biomass waste. lnstead of landfill and banishing shell waste in the ocean, we aim to develop a new strand of streptomyces to valorize the waste, producing chemicals that is beneficial to human, making good use of the fermentation broth. Our goal in this project is to explore secondary metabolic pathways in the novel streptomyces, attempting new tools for applying synthetic biology in streptomyces. Meanwhile we wish to propose an innovative recycling method for shell waste, bringing wealth from waste again. Our Project has a name and a slogan: ECO-SHELLS (Eco-friendly Conversion Of Shells into Higher value End products with Long-lasting hydrolysis based on Streptomyces), waste to wealth.	Biomanufacturing	Silver Medal			2023	Xiaochun Luo		Can Qin, Lei WU, Mingshu Zhang	Anyang Chen, Ruikang Chen	Chenxiao Hu, Daifeng Zheng, Jiamin You, Jiaying Xiao, Jiayi Wang, Rui Kuang, Xiang Zheng, Xi Jin, Xinhao Qiu, Xinyu Huang, Xue Gong, Yanqi Liu, Yanying Liu, Yi Zeng, Yuan Huang, Yuxuan Chen	22	Undergrad	China	Asia	https://2023.igem.wiki/scut-china	Accepted
4622	Saint-Joseph	Behcheck	Behcheck is a Lateral Flow Assay Test Kit for the presence of HLA-B27 protein. Studies show that this protein variation remains the most important genetic factor for Behçet’s Disease. Furthermore, this specific factor has the highest relation rate among non-phenotypic factors (determined by pathergy tests).	High School	Silver Medal			2023	Handan KESIM, Simge Senay		Begum Esra Aytan	Atakan Ayg?n	Alp Bedri ?al?m, Asya Cavdar, Burcu Bahar Narin, Dora Altug, ?dil Erden, Nehir M?s?rl?o?lu, Zeynep Turgay	11	High School	Turkey	Asia	https://2023.igem.wiki/saint-joseph	Accepted
4623	BNU-China	Silinker Universe: A biotoolbox for efficient modification of multiple biomolecules on mesoporous silica surfaces	Nanotechnology is experiencing rapid growth in both research and industrial communities. This provides new insights into tissue engineering, advanced pharmaceutics, and therapeutic application. Nanomaterials and nanostructures have unique physical and chemical properties, with advantages such as customizability and specificity. These advantages have driven the explosive development of nanomedicine over the last two decades. The surface modification of nano silica that provides it with a diverse range of potent biological functions. We have noted that the current chemical methods used for the attachment of different functional proteins are tedious, difficult to maintain the protein activity, and require the functional protein linkage-specific design. To facilitate protein surface modification on silica nanoparticles, we aim to design a unified and standardized protein binding mode. It is a novel type of SiO2 protein modification linker family called Silinker, which can modularly bind the desired functional proteins.	Biomanufacturing	Gold Medal	Best New Basic Part	Best Biomanufacturing Project, Undergrad & Overgrad	2023	Chen Jinbo, Hao Xiaoran	Dong Yang, Sen Li, Xudong Zhu	Huan Lin, Jingxuan Li, Lu Yan, Sihua Chen	Ruixiao Tan, Yixin Huang, Yixin Zhu	Dong Xiangyang, Guo Chen, Jingyang Chen, Kaixu Ou, Linyi Zhou, Liu Muyi, Li Yiman, Shuyun Ding, Song'ang Liu, Suping Liang, Su Xuan, Tian Xia, Xiaoqi Ouyang, Xinying Han, Xinyue Yang, Yang Xu, Yilin Wang, Yi Nuo, Yiqing Xiao, Yu Fu, Yuxuan Zhu, Zhe Chen, Zihan Rao, Ziqi Liu	36	Undergrad	China	Asia	https://2023.igem.wiki/bnu-china	Accepted
4632	SCAU-China	Queen Ant's Assassin —— Efficient elimination of Solenopsis invicta queen by intestinal bacteria	Solenopsis invicta ?Red imported fire ant, RIFA) stands as among the world's most harmful invasive species, causing varying degrees of damage to health, agriculture, ecology, and infrastructure. Current control methods, relying mainly on chemicals and physics, fall short due to incomplete eradication, constraints, environmental risks, and human hazards. To counter these limitations, we developed the Queen Ant's Assassin (QAA): a gene circuit driven by quorum sensing (QS) to release drugs to target and exterminate the RIFA queen precisely. Collaboratively designed, validated in labs, and modeled dynamically, E. coli were modified, QS used as a timing mechanism, allowing gut colonization and sequenced release of protease inhibitors and toxic proteins in RIFA larvae. Through RIFA's social feeding patterns, drugs concentrate in the queen, resulting in population collapse. This method excels in precision, efficiency, safety, and applicability, promising significant potential for RIFA control by governments and farmers.	Conservation	Gold Medal			2023	Zhe Hu, Daifeng Cheng		ChenKai Guo, Jinglun Liang, Xiaofan Zhao, Yunxiang Zhang, ZhaoLin Ou	Haolong Lai, Xinyuan Nie	Ao Qi, Guanru Xue, Guanyu Pan, Huiqi Lin, Jiacheng Liu, Junhao Zhang, Kaihan Huang, Kexin Li, Leer He, Minting Liang, Qiao Xu, Wenxiao Cai, Xinyao Wang, Xinyuan Chen, Yice Xu, Yijin Ma, Ying Li, Yutong Liao, Zetao Gao	28	Undergrad	China	Asia	https://2023.igem.wiki/scau-china	Accepted
4635	NEU-CHINA	Functional biofilms applied in metal corrosion protection	In metal corrosion protection, biofilm can play a role in metal corrosion protection by removing corrosive cathode medium (such as oxygen), inhibiting the growth of corrosive microorganisms, and forming a protective layer on the metal surface. However, one of the shortcomings of biofilm for metal corrosion protection is its weak metal adhesion ability. NEU-CHINA team aimed to design a living functional biofilm that can be applied to marine metal corrosion protection. We named it BMCP (Biofilm for metal corrosion prevention). In this project, Escherichia coli amyloid protein CsgA and mussel foot silk protein Mfp were connected by in vitro assembly, aiming at improving the adhesion ability of the biofilm on the surface of metal materials, so as to play the role of corrosion protection better. Finally, we will achieve long-term metal corrosion protection and improve the biological safety of BMCP through biomineralization.	Biomanufacturing				2023	Yongqiang Fan, Shuang Hao, Chao Wang, Zhong Li		Kunpeng Zhou, Tianshu Song, Yujie Li, Zihan Tang		Jialin Jiang, Jialin Sheng, Jiaxin Dong, Jinrui Gua, Junhao Wu, Mingzhe Lv, Muqi Zhang, Qize Peng, Ruohui Li, Xiaoxiao Lu, Xingyuan Sun, Xinyi Wang, Xinyue Cao, Xueping Wang, Yao Zhang, Yichen Jin, Yushan Wang, Zirui Tang, ??? Ziqing Dai, ??? Peiwen Zhao	28	Overgrad	China	Asia	https://2023.igem.wiki/neu-china	Accepted
4636	NTHU-Taiwan	NanoCircDx	Research has demonstrated that early detection can make colorectal cancer highly curable. Therefore, we have decided to develop a diagnostic technology platform for cancer screening using liquid biopsy. With just a blood sample provided by the patient, we can determine the potential presence of colorectal cancer through circular RNA analysis in the serum. NanoCircDx presents clear benefits compared to existing methods for colorectal cancer detection. Our approach needs just one blood sample to evaluate the potential of colorectal cancer, offering: 1. Early identification of the disease. 2. Enhanced accuracy and speed in screening. 3. Greater user acceptance. 4. Minimal invasive procedure. Current circular RNA detection methods are limited to lab settings and lack rapid screening. Our study has great potential to establish swift circular RNA biomarker screening for colorectal cancer. Furthermore, we intend to expand this concept for diagnosing diverse diseases and their related circular RNAs in the future.	Diagnostics	Gold Medal			2023	Hsing-Ying Lin, Chun-Chao Wang, Huang, Jian-Ming		Chen, Cheng-Yao, CHEN YEN CHUN, Chia Tung Shih, Chien-Hui Su, CHIH YU CHOU, Chung-Yu Chou, Hong Ke Chi, Hsu Pei Chen, Hsu, Peng-Wei, KANG,NAI SIN, Sheng Bi, Chen, Su, Kuo-Chih, Wei-Chun Lan, Yen Tao Yun, YI TING LEE, You, Jeng-Fu, Yun-Hsien, Chung, Yu-Ren Peng	Chih-Cheng Hsu	An-Jie, Liu, Chi-Wei Lee, Jhih-Kai Yeh, Ji-Ting Jang, Kuang-Yi, Shih, Lo-Chueh, Chu, Lu, Kuan-Hui, [LUO] [YI-WUN], Pei-chi Huang, Pei-Yun, Hsieh, Ping-yu Yang, TSUNG-YU, CHEN, Tzu-Wei Wang, YIN-WEN YEN, Yu Yen Huang	37	Undergrad	Taiwan	Asia	https://2023.igem.wiki/nthu-taiwan	Accepted
4638	PekingHSC	Neuraminidase-boost Influenza Virus to Target Tumors with TFR1 high expression	Cancer is a great threat to human health, and the development of new antitumor therapies is imminent. Studies have shown that TfR1 (transferrin receptor 1) is highly expressed in many types of tumor cells, and it is also found that influenza virus uses the internalization pathway of TfR1 to achieve virus endocytosis, and this process is produced by the interaction between NA protein (neuraminidase) on the surface of the virus and TfR1. For the wild-type influenza virus, the number and length of the surface NA protein is less than the HA protein (hemagglutinin), which makes the identification of NA protein more difficult. Our work is to increase and lengthen the NA protein on the surface of the virus through genetic engineering, so that the NA protein is more easily recognized by tumor cells with high expression of TfR1, so as to improve the tumor targeting of influenza virus.	Therapeutics	Gold Medal			2023	Demin Zhou, Cui Bohua, Zhengren Xu, Zhengwei Xie, Zhuo Huang	Yuanhao Li		Tao Yuan	Chen Yang, Chu Yue Yang, Dingwei Lei, Hao Yu, Jiawei Zhao, Jia Yao, Jia Yuan, xinyu Xiao, Yanbo Jing	16	Undergrad	China	Asia	https://2023.igem.wiki/pekinghsc	Accepted
4639	Patras	Hyperion	Project Hyperion is a pioneering venture focused on developing a cutting-edge biosensor with a primary objective: early cancer detection and the identification of various anomalies through the analysis of kinome hyperphosphorylation patterns. Our journey commences with the precise construction of the biosensor and its components, primarily executed through advanced 3D printing techniques. Concurrently, we initiate the cultivation of human cell lines, specifically employing the A453 cell lines sourced from the European Collections of Authenticated Cell Cultures, forming the foundation for rigorous testing and critical assessment of the biosensor's functionality. In the subsequent phase, we meticulously extract proteins from these cell lines to evaluate hyperphosphorylation patterns through established techniques such as Western blotting. We ascertain the biosensor's capacity to accurately detect these patterns, marking a pivotal step toward transforming cancer diagnosis and anomaly detection. Project Hyperion is poised to revolutionize healthcare, standing at the forefront of innovative biotechnology.	Diagnostics				2023	George P. Patrinos, Kostopoulos Vassilis	Angelo Ferraro, Christoforos-Nikitas Kasimatis, Sevasteia Telli, STAVROULA SIAMOGLOU	Sotiris Marinos	Christina Tsianava	Aikaterini Nikolaidou, Alexandros Tsafos, Andreas Vatistas, Athina Latsi, Christiana Kostaki, LATARIS IOANNIS-MARIOS, MARIA ELENI ARMENI, Maria Vasileiou, Sotirios Charalampos Diamantoudis, Stavros Papavasileiou, STYLIANOS SERETIS, VASILEIOS TZITZIS, Vasilis Vrettos	21	Undergrad	Greece	Europe	https://2023.igem.wiki/patras	Accepted
4641	MIT-MAHE	CarbanEl	MIT-MAHE is focusing on biodegrading triclocarban (TCC), an antimicrobial compound in pharmaceutical and personal care products. Due to its hydrophobicity and chemical stability, it is ineffectively degraded in wastewater treatment plants (WWTPs), resulting in accumulation in the effluent and sludge. Owing to its carcinogenic and hormone disrupting properties, TCC when exposed to the environment as sludge inhibits plant metabolism and harms endocrine functioning in aquatic life. CarbanEl aims to degrade triclocarban into non-toxic byproducts. The aim is to introduce Ochrobactrum TCC-2's TccA gene which can degrade TCC into a chassis which can inherently degrade the toxic chloroaniline byproducts using its natural, existing pathways. We decided to focus our study on P. putida, P. fluoroscens, and A. baylyi, which are all suitable candidates to serve as our chloroaniline-degrading chassis. This will effectively lower the impact of TCC on our environment, locally and globally, in aquaculture, agriculture, and human health.	Bioremediation	Gold Medal			2023	Dr. Ritu Raval, Chiranjit Ghosh, Dr. Fayaz SM, Kapil Sadani, K Balakrishna		Ashrith Sagar Yedlapalli, Naomi Ann Thomas, Renuka Manjunath Basawa, Serin Joby Parekkadan, Shreyas Parkhie, Suhani Kabra, Tushar Mishra, Vaibhav Revankar	Aditi Balasubramani	Aditi Kini, Aditi Srivastava, Akanksha kelkar, Anandita Rawat, Anika Jha, Aritro Biswas, Dharmika Challa, Ilora Samanta, Janani Sriramakrishnan, Khushi Ash Gulati, Manu Upadhye, Nidhi Mallya, Nivetha Sri P, Pooja Agarwal, Rajat Sreeraj, Rhea Fernandez, Richa Rao, Riyaa Ganla, Saurav Arippara Vinodh, Shreya Varma, Shubha Tiwari, Sonal Keni, Vidhula Jessica I, Vikrant Vhatkar	38	Overgrad	India	Asia	https://2023.igem.wiki/mit-mahe	Accepted
4642	City-of-London-UK	Genoswitch	Women’s health is an area within medicine that has been historically underfunded and under researched. Currently, tests for common conditions in women’s health are rudimentary and invasive, with women often not receiving a diagnosis for many years after the onset of symptoms. Project Genoswitch aims to spread awareness about women’s health and to develop a modular cell-free diagnostic test that can decrease the length of time to receive a diagnosis, by detecting upregulated microRNA biomarkers in the bloodstream, using four toehold switches in one composite gene fragment, which can each detect three upregulated microRNAs in the serum of patients with the condition. Our test specifically targets PCOS, endometriosis, breast cancer, and ovarian cancer, although it can be used more widely. This test will provide a more cost effective and non-invasive approach compared to current methods, increasing the accessibility of miRNA biomarker tests worldwide.	High School	Silver Medal			2023	Will Tibbits			Astrid Brodie, carter stevens, Charlotte Henderson, Edwin Hadass, Emily Kemp, James Cahill, Philomene Lloyd, Rishabh Das, Ryan Yapa, Yilu Lim, Zachary Alexander Robb	Ama Anamoah, Angus Lusty, Anningan Moodie, Anushri Ajitsaria, Augustine Louvrier, David Broomfield, David Kang, Elizabeth Sullivan, evelyn cole, Ewan Andre Frazao Pinheiro Astier, Harry Glyn, Hester Evans, Irene Selvin, Lili Bi-bi Ghaffari-Gandy, Li Sen Tan, Lola Idle, Louis Cahill, Louis Chenot, Matthew James Spreadbury, Olivia Gordon, Oluwatobi Sanyaolu, Qifan Guo, Reya Karpe, Samaara Chaudhary, Sean Richardson, Sophie Yuldasheva, Tristan ?Cassidy	39	High School	United Kingdom	Europe	https://2023.igem.wiki/city-of-london-uk	Accepted
4644	BUCT	NephroWiz	BUCT focuses on helping many patients with chronic kidney disease (CKD), and it is our team's top priority to help them alleviate the pain and improve the quality of life. We sincerely hope to provide them with effective help! We take the genetically engineered E. coli nissle 1917 as the carrier, hoping to reduce the content of creatinine and urea in patients through intestinal exudation in the form of probiotics, and generate non-toxic polyglutamic acid and the nutrient sarcosine. At the same time, BUCT also deeply carries forward the spirit of volunteers and humanistic care, popularizes the professional knowledge of kidney protection to more and more people while designing treatment plans, and deeply hopes to help more people!	Therapeutics	Silver Medal			2023	Xiaolin Shen, Jia Wang, Xinxiao Sun, Zhengjun Li		JinHong Wang, Sharon Zou, Yujie Zhang	Dong Yan, Han Cao, Jihua Wei, Linwei Yu	Jiayi Li, Qianxiang Wei, Siyu Liu, Wenjun Xie, Xiaodong Song, Xiaoye Liang, Xuanzhi Wang, Yazhao Liu, Yutong Su, Yuxuan Huo, Yuzhu Liu, Zhenghao Li, Zheren Sun, Zihan Geng, Zizhao Tian	26	Overgrad	China	Asia	https://2023.igem.wiki/buct	Accepted
4645	HZAU-China	C.A.T: Cat Allergic Therapy	Feline allergies are a common source of allergens, affecting up to 15% of adults and children and causing symptoms from allergic rhinitis to severe asthma. Feline allergens, Fel d1 (Felis domesticus allergen 1), are mainly produced by the salivary glands, and when cats groom themselves, Fel d1 is transferred from saliva to their hair, and cat dander containing Fel d 1 allergen is then spread to the environment as small airborne particles. HZAU-China team this year designed C.A.T: Cat Allergic Therapy. As a novel therapy for cat allergy, the chassis bacteria, genetically programmed to adhere to the saliva pellicle of cats, produce two single-chain fragment variables (scFvs) and secrete them outside the cell. These scFvs block the immune response caused by the antigen and prevent allergies. The project aims to develop an edible probiotic cat nutriment, which is expected to be used for prevention and treatment of feline allergy.	Therapeutics				2023	Binguang Ma, JIN HE	Mingqian Feng, Zhipeng Zhou	Jie Min	Leyang Huang, Ruixuan Zhu, Yan Xu	Haoxiang Zhang, Haozhen Liu, Lizhu Zuo, Meng Sun, Ruichen SHEN, Rui Tian, Ruyi Guo, Xiaoyue Wang, Xi Chen, Xincong Sun, Xinyi Geng, Yi Ding, Yuanpu Zhang, Yuqian Yang, Yutong Chen, Zekun Luo, ZhaoHong Liu, Zhilin Zhu, Others, Bin Mei, Tiejun Tang	28	Undergrad	China	Asia	https://2023.igem.wiki/hzau-china	Disqualified
4646	Duke	ICARUS - Intelligent Chimeric Antigen Upregulation System	Chimeric antigen receptor (CAR) T-cell therapy has shown great promise in treating certain hematologic cancers by reprogramming patient T-cells to target tumor antigens. However, application of this therapy to solid tumors has been limited by issues such as heterogeneity of antigen expression, tumor inaccessibility, and immunosuppressive tumor microenvironments. Our project describes an integrated CAR-synNotch circuit, the Intelligent Chimeric Antigen Receptor Upregulation System (ICARUS), to address these limitations. This system utilizes engineered T-cells that secrete custom antigens to activate endogenous synthetic receptors and to amplify CAR T-cell stimulation, proliferation, and cytotoxicity. By enhancing T-cell stimulation through autocrine and paracrine signaling, ICARUS aims to improve CAR T-cell efficacy against solid tumors. This innovative gene circuit represents a novel approach to overcome current challenges in CAR T-cell therapy for solid cancers.	Therapeutics	Silver Medal			2023	Cameron Kim	Harshitha Venugopal Lavanya	Margaret Gatongi	Robert Kaptur	Alexander Diefes, Anokh Ambadipudi, Ashi Jain, Ashley Browne, Ashley Hsu, Dahlia Halabi, Giselle Russi, janvi bhatia, Judy Lee, Juliana Shank, Kishan Patel, Nicole Read, Palak Jolly, Shelby Cherkas	18	Undergrad	United States	North America	https://2023.igem.wiki/duke	Accepted
